beike_id,house_type,location,price,title
"101126501770
                          ",3室2厅,首创国际城, 135万,首创国际城南北通透三室 满五唯一随时看房
"101126523782
                          ",2室2厅,北城新天地, 68万,北城新天地 2室2厅 南 北
"101126512171
                          ",3室2厅,世纪锦城, 81万,世纪锦城 3室2厅 南 北
"101126512323
                          ",2室2厅,泰祥花园, 135万,高新一中旁  泰祥花园 低楼层  诚意出售
"101126512535
                          ",1室1厅,乾唐雁月, 73万,急售，，，，地铁口，中间楼层，采光好
"101126512877
                          ",3室2厅,大华锦绣前城二三期, 185万,哇哦，小三室业主二次装修，纯新房出售，价格可谈
"101126512938
                          ",3室2厅,当代上品湾, 80万,地铁口 品质小区 环境优美 一级物业 全明户型
"101126513326
                          ",3室1厅,中南春风里, 80万,中南春风里 3室1厅 南 北
"101126513594
                          ",3室1厅,亿润花园, 175万,地铁口 改善住房 精装 房子保持的很好 全屋空调
"101126513624
                          ",3室2厅,海德堡PARK, 420万,不沿三环，好楼位，房龄新，精装修，拎包入住看房方便
"101126513704
                          ",3室2厅,紫薇田园都市K区, 239万,紫薇田园都市K区 3室2厅 南 北
"101126514051
                          ",2室1厅,灞业大境, 99.9万,长乐坡地铁口沿线，交通便利，小区环境好，配套齐全
"101126514138
                          ",3室2厅,恒大雅苑, 99万,恒大雅苑3-2-1-2 131.35m² 99 万
"101126514729
                          ",2室1厅,陕鼓西仪104小区, 85万,好房出售 劳动路地铁口 西仪104 两室精装修
"101126514825
                          ",3室2厅,白桦林家愿, 101万,白桦林家愿 全明三室户型 市政双气
"101126514926
                          ",3室1厅,绿地璀璨天城, 186万,绿地璀璨天城 3室1厅 南 北
"101126515031
                          ",2室2厅,华城国际小区, 120万,华城国际南北通透户型 满二可按揭 近地铁 配套全急售
"101126515301
                          ",3室2厅,学林花园西区, 61万,成熟商圈 市政供暖 宝石花物业 精装修家具家电全带
"101126515665
                          ",3室2厅,御锦城智慧树, 144.9万,视野开阔，中间楼层，采光充足。交通便利，配套成熟
"101126516546
                          ",3室2厅,世茂璀璨倾城西区, 160万,地铁10号线，世茂精装三室南北双阳台全明急售，带车位
"101126516824
                          ",3室2厅,万科金色悦城, 159万,小高层，采光好，看房方便，诚心出售
"101126516958
                          ",3室1厅,紫荆花园, 140万,紫荆花园 3室1厅 南
"101126517388
                          ",3室2厅,世茂都, 176万,地铁口  世茂都 小区中间楼卫  采光无遮挡  自住装修
"101126518210
                          ",3室2厅,长和上尚郡, 209万,满三满二，户型方正，产权清晰，采光充足
"101126518723
                          ",1室1厅,中华世纪城, 98万,双地铁口，遛狗大阳台，次新房已满二
"101126518738
                          ",3室2厅,海伦国际三期, 185万,青龙寺地铁口，小区绿化好，两梯三户，配套齐全
"101126518999
                          ",3室2厅,天地源万熙天地兰园, 299万,天地源万熙天地兰园，满三满二，业主自住精装修可看房
"101126519628
                          ",4室2厅,紫薇花园洲, 190万,低密度社区，采光视野好 业主诚售
"101126519806
                          ",3室2厅,中南春溪集, 120万,中南春溪集  洋房社区  业主诚心出售   满二
"101126521946
                          ",2室1厅,华城国际小区, 123万,电视塔板块，交通便利，配套齐全
"101126522308
                          ",3室1厅,恒大都市广场, 130万,恒大品质，南北通透，采光好，明厨明卫
"101126523103
                          ",3室2厅,万科高新华府, 170万,高新华府三房 朝南 产证满二 无尾款 有双指 随时看
"101126524221
                          ",2室1厅,上东大道, 118万,此房满三满二，精装修，业主诚心出售，
"101126524970
                          ",3室2厅,皇甫庄101, 135万,交大商圈，多层小区，位置好，生活配套成熟，有钥匙
"101126525665
                          ",2室1厅,颐和盛世, 70万,颐和盛世 2室1厅 东 南
"101126525828
                          ",2室1厅,金地西沣公元二期, 141万,小区东面就是1700亩的生态园，有宜家购物商场
"101126526075
                          ",4室2厅,绿城西安全运村子衿苑南苑, 395万,精装交付慢三满二南   南向大阳台视野开阔
"101126527466
                          ",2室1厅,中海凯旋门, 165万,中海地铁口，全明两居室，洋房社区，绿化好
"101126527974
                          ",2室1厅,东绣岭小区, 38.6万,东绣岭小区2-1-1-1 67.77m² 经典小两室，中间楼层
"101126528022
                          ",3室2厅,万科金域蓝湾, 205万,南北通透格局好，楼层好，视野宽阔，采光充足
"101126529195
                          ",3室2厅,曲江MINI公馆, 170万,曲江一期  三室毛坯  满三满二  南北通透
"101126529232
                          ",3室2厅,永松路市政府小区, 79万,永松路市政府小区  3室   南北通透   急售
"101126529366
                          ",3室2厅,紫薇田园都市H区, 260万,一手业主 证在手 小高层 单中 看房有钥匙
"101126532466
                          ",2室1厅,金域曲江一期, 215万,万科金域曲江一层88平小户型房源
"101126534898
                          ",3室2厅,榕青无界, 135万,南郊方正三室业主诚心出售欢迎全国有缘客户来看房
"101126535077
                          ",4室2厅,旭辉·国宸府, 451万,旭辉国宸府大户型 四室  看房有密码 业主急出 诚心出
"101126535276
                          ",3室2厅,金科世界城, 135万,全明户型，配套齐全，生活便利，环境优美
"101126535411
                          ",3室2厅,天骊太白苑, 168万,航天771家属院电梯房 环境好管理好户型方正3室诚心卖
"101126536353
                          ",3室2厅,绿城桂语江南, 170万,全屋精装交付，产权清晰，房本在手，靠谱出售
"101126537416
                          ",1室1厅,崇立金世园, 60万,地铁三号线 太白南路站  70年产权 精装一室 可按揭
"101126537611
                          ",3室2厅,旭辉·国宸府, 225万,2023年5月精装交付，8号线北辰东路地铁口 诚心出售
"101126538439
                          ",2室2厅,尚品美地城, 160万,尚品美地城 2室2厅 东南 南
"101126539610
                          ",3室2厅,宜家沣都, 135万,宜家沣都164.13三室两卫 一梯一户
"101126555943
                          ",1室1厅,车城温泉花园, 45万,车城温泉花园1-1-1-1 51.38m² 45 万）
"101126517104
                          ",3室2厅,招商依云曲江, 189万,满三满二，自住装修，物业好，产权清晰，业主诚心卖
"101126517621
                          ",2室2厅,新兴骏景园, 90万,新兴骏景园 2室2厅 南 西南
"101126520011
                          ",2室2厅,国宾中央区, 160万,业主诚意卖 毛坯随意装修 楼层好 户型采光好 有钥匙
"101126520664
                          ",3室2厅,西北有色地质研究院生活小区, 135万,青龙山双地铁口 家属院 户型南北精装秀 满五唯一 急售
"101126527081
                          ",3室2厅,乾基九境城, 82万,九镜城三室全明两卫 随时看 中间好楼层
"101126502740
                          ",3室2厅,三迪枫丹, 210万,三室南北通透双阳台，小区经典户型！满二！
